Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory
Disciples,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016,red
Zinfandel,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015,red
Margaux,France,Margaux,Château Labégorce,4.0,1016,40.95,2010,red
La Luna e i Falò Barbera d'Asti Superiore,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015,red
Ribera del Duero,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015,red
Les Jardins Rouge,France,Faugères,Saint Antonin,3.8,102,7.95,2018,red
Nero d'Avola - Syrah,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,red
La Bienquerida,Spain,Bierzo,Losada,4.1,102,35.97,2013,red
Bonera,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,red
Noi 4 Bolgheri,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,red
Pinot Noir,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,red
Gran Selección Tempranillo,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,red
Syrah,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,red
Zweigelt,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,red
Listán Negro,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,red
Viile Metamorfosis Merlot,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,red
Merlot - Cabernet Sauvignon - Petit Verdot,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,red
RWT Shiraz,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,red
Fronton,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,red
Costers Del Gravet Montsant,Spain,Montsant,Capçanes,3.7,102,13.95,2013,red
Merlot,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,red
Pinot Noir,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,red
Coume de l'Olla Rouge,France,Vin de France,Matassa,4.1,102,16.96,2019,red
Schwarzer,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,red
Haut-Médoc,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,red
Bourgogne Pinot Noir (La Vignée),France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015,red
Pinot Noir,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017,red
Zinfandel,United States,California,Geyser Peak,3.7,1023,10.9,2016,red
Valpolicella Ripasso Classico Superiore,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017,red
Rosso di Montalcino,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015,red
Ripanço Private Selection Alentejano,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016,red
Riserva Cannonau di Sardegna,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017,red
60 Sessantanni Old Vines Primitivo di Manduria,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016,red
Kith & Kin Cabernet Sauvignon,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017,red
Zinfandel,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017,red
Cerro Añon Rioja Gran Reserva,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011,red
Bush Vine GSM (Shiraz - Grenache - Mourvedre),Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013,red
Plaer Vinyes Velles,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016,red
Cabernet - Shiraz,Spain,La Mancha,Añoranza,3.4,103,3.95,2016,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014,red
Comte de Sénéjac Haut-Médoc,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011,red
Gran Masetto Teroldego,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,red
Barolo Mariondino,Italy,Barolo,Parusso,4.1,103,39.9,2015,red
Crianza,Spain,Rioja,Berceo,3.6,103,9.9,2016,red
Apogee Pepper Bridge Vineyard,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013,red
Gamma Red Blend,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018,red
Peyres Nobles Rouge,France,Corbières,Château Camplong,4.0,103,6.5,2018,red
Lemartine Toscana,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,red
Organic Cabernet,Australia,South Australia,Farm Hand,3.7,103,7.79,2018,red
Pomerol,France,Pomerol,Château Nénin,4.1,103,240.0,1999,red
Malterdinger Alte Reben Spätburgunder,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,red
Cabernet Franc,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002,red
Bramare Rebon Vineyard Malbec,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017,red
Merlot Reserva,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008,red
Brunello di Montalcino Pianrosso,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,red
François de Tournon Saint-Joseph,France,Saint-Joseph,Delas,3.9,103,29.15,2016,red
Estibals Minervois,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018,red
Barbera - Garnacha,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017,red
Roi des Lézards,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014,red
One Point Five Cabernet Sauvignon,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,red
Barbaresco,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006,red
Médoc,France,Médoc,Château Potensac,3.8,1033,39.69,2012,red
Pieve Santa Restituta Brunello di Montalcino,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,red
Gran Maestro Primitivo di Manduria,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011,red
Inferno (Aged in Whiskey Barrels - Limited Release),United States,California,Apothic,3.8,1037,14.56,2017,red
Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007,red
Faithful Hound Red,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,red
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.0,2012,red
Rosso di Montalcino,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018,red
Chianti,Italy,Chianti,Sammontana,3.7,104,8.9,2017,red
Azul,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015,red
Sanct Valentin Riserva Pinot Noir,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,red
Mas Collet Barrica,Spain,Montsant,Capçanes,3.5,104,21.91,2009,red
Valpolicella Ripasso Classico Superiore,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016,red
Toscana Poggio Ai Merli,Italy,Toscana,Castellare,4.3,104,69.0,2016,red
Viña Aljibes Red Blend,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016,red
Châteauneuf-du-Pape (La Crau),France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017,red
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015,red
Mencia,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015,red
Santenay Clos de Malte,France,Santenay,Louis Jadot,4.1,104,32.0,2016,red
Sudisfà Roero Riserva,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,red
Léa Les Aspres Côtes du Roussillon Rouge,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012,red
Alleanza,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,red
Valpolicella Ripasso Classico Superiore Solane,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015,red
Crianza,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015,red
Courela Tinto,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016,red
Barbera d'Alba Tre Vigne,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015,red
No Name,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,red
