Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory
Vürsù Barolo Campè,Italy,Barolo,La Spinetta,4.3,156,97.38,2010,red
Dedicato a Walter Bolgheri Superiore,Italy,Bolgheri Superiore,Poggio Al Tesoro,4.5,156,89.0,2015,red
Benchmark Cabernet Sauvignon,Australia,South Australia,Grant Burge,3.4,156,8.5,2017,red
Terroir du Trias Bandol Rouge,France,Bandol,Domaine de Terrebrune,4.0,156,32.9,2014,red
Tributo Syrah,Chile,Colchagua Valley,Caliterra,3.7,156,10.71,2012,red
Rouge,France,Côtes Catalanes,Domaine de l'Horizon,3.8,156,40.16,2008,red
Valpolicella Ripasso Superiore,Italy,Valpolicella Ripasso,Casa Vinicola Bennati,3.8,156,14.31,2014,red
Lalande-de-Pomerol,France,Lalande-de-Pomerol,Château de Bel-Air,3.9,156,28.83,2015,red
Walking Tree Cabernet Sauvignon,United States,Alexander Valley,Geyser Peak,3.7,156,21.0,2013,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.5,156,592.4,2014,red
Sito Moresco Langhe,Italy,Langhe,Gaja,4.1,1561,41.9,2016,red
Pinot Noir,New Zealand,South Island,Kim Crawford,3.6,1565,15.9,2015,red
Rouge (Gaston Hochar),Lebanon,Bekaa Valley,Château Musar,4.2,1566,35.04,2002,red
Lytton Springs,United States,Dry Creek Valley,Ridge Vineyards,4.2,1568,41.85,2016,red
Malbec Estate,Argentina,Calchaqui Valley,Colomé,4.0,1568,15.03,2017,red
Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Salcheto,3.9,1569,17.3,2015,red
Pinot Noir,Germany,Baden,Heitlinger,3.7,157,12.49,2016,red
Castel Firmian Nerofino,Italy,Trentino,Mezzacorona,3.8,157,6.95,2016,red
Cartagho,Italy,Terre Siciliane,Mandrarossa,3.7,157,13.47,2017,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Pindefleurs,4.2,157,30.95,2016,red
Reserva Cabernet Sauvignon,Chile,Colchagua Valley,Caliterra,3.4,157,6.99,2018,red
Moulis-en-Médoc,France,Moulis-en-Médoc,Château Dutruch Grand Poujeaux,3.7,157,24.63,2015,red
Castro Ventosa El Castro de Valtuille,Spain,Bierzo,Raúl Pérez,3.7,157,17.9,2015,red
Crianza,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.6,157,10.49,2016,red
Taita Marchigüe Vineyard Cabernet Sauvignon,Chile,Colchagua Valley,Montes,4.6,157,239.0,2011,red
Villa Gresti,Italy,Vigneti delle Dolomiti,San Leonardo,3.9,157,25.5,2014,red
Cabernet Sauvignon,South Africa,Franschhoek,Anthonij Rupert,4.3,157,59.95,2012,red
Médoc,France,Médoc,Château La Cardonne,3.7,157,20.5,2012,red
Cabernet Sauvignon,South Africa,Stellenbosch,Alto Estate,4.1,157,17.75,2014,red
Pinot Noir,France,Pays d'Oc,La Chevalière,3.6,157,7.89,2018,red
Merlot (Carménère - Syrah),Chile,Rapel Valley,Trio,3.7,1570,11.47,2016,red
6th Sense Syrah,United States,Lodi,Michael David Winery,3.9,1571,14.82,2013,red
Reserva,Spain,Rioja,Hacienda López de Haro,3.7,1573,12.79,2014,red
Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Montrose,4.2,1574,109.0,2007,red
Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Montrose,4.4,1578,174.95,2005,red
Director's Cut Zinfandel,United States,Dry Creek Valley,Francis Ford Coppola,4.0,1578,33.25,2014,red
Gevrey-Chambertin,France,Gevrey-Chambertin,Louis Latour,4.1,158,51.55,2013,red
Antu Cabernet Sauvignon - Carmenère,Chile,Colchagua Valley,MontGras,4.0,158,11.9,2018,red
Sassabruna Maremma Toscana,Italy,Maremma Toscana,Rocca di Montemassi,3.8,158,12.5,2017,red
Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Fonroque,4.0,158,48.95,2016,red
Series M,South Africa,Paarl,Vilafonté,4.4,158,51.41,2015,red
Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Collefrisio,3.8,158,13.95,2013,red
Médoc,France,Médoc,Clos Manou,3.9,158,27.9,2015,red
Selección La Aguilera,Spain,Ribera del Duero,Dominio de Cair,4.1,158,18.99,2015,red
Freestone-Occidental Pinot Noir,United States,Sonoma Coast,Occidental,4.4,158,69.0,2015,red
Reserva Carmenère,Chile,Rapel Valley,Santa Rita,3.5,158,9.65,2018,red
Impossible Red,South Africa,Paarl,Laborie,3.8,158,8.21,2018,red
Lamaione Toscana,Italy,Toscana,Tenuta CastelGiocondo,4.1,158,57.51,2013,red
Vendemmia d'Artista La Tensione,Italy,Bolgheri Superiore,Ornellaia,4.5,158,212.49,2016,red
La Baraja,Spain,Ribera del Duero,Bodegas Vilano,4.6,158,31.5,2016,red
La Montesa,Spain,Rioja,Palacios Remondo,3.9,158,14.13,2017,red
Gazur,Spain,Ribera del Duero,Telmo Rodriguez,3.4,158,9.95,2018,red
Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Avignonesi,3.9,1582,19.39,2015,red
Crianza Ribera del Duero,Spain,Ribera del Duero,Condado de Haza,3.8,1582,14.5,2016,red
Castello di Brolio Gran Selezione Chianti Classico,Italy,Chianti Classico,Ricasoli,4.1,1588,41.0,2013,red
Cabernet - Merlot,Australia,Adelaide Hills,Tempus Two,3.6,159,10.41,2017,red
Rioja Gran Reserva,Spain,Rioja,Castillo Clavijo,3.9,159,17.78,2011,red
Méthode Ancienne Cabernet Sauvignon,South Africa,Robertson,Springfield Estate,4.2,159,39.95,2013,red
MXI Selección de Barricas,Spain,Ribera del Duero,Tinto Pesquera,3.9,159,36.0,2016,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Barrail du Blanc,3.8,159,27.71,2015,red
Hussonet Cabernet Sauvignon Gran Reserva,Chile,Maipo Valley,Haras de Pirque,3.5,159,15.49,2018,red
Syrah,South Africa,Franschhoek,Anthonij Rupert,4.1,159,59.95,2013,red
Côtes du Rhône Rouge,France,Côtes-du-Rhône,Domaine Roche Audran,3.8,159,9.9,2017,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Trapaud,3.9,159,19.65,2012,red
Frans K. Smit,South Africa,Stellenbosch,Spier,4.4,159,75.0,2015,red
Killerman's Run Cabernet Sauvignon,Australia,Clare Valley,Kilikanoon,4.0,159,20.75,2016,red
Gigondas Les Racines,France,Gigondas,Domaine Les Pallières,4.0,159,34.99,2015,red
Armentino Negroamaro - Primitivo,Italy,Salento,Schola Sarmenti,4.0,159,11.5,2017,red
Amarone della Valpolicella,Italy,Amarone della Valpolicella,Zonin,4.1,1590,28.12,2015,red
Barbaresco,Italy,Barbaresco,Gaja,4.5,1593,149.0,2012,red
Margaux (Grand Cru Classé),France,Margaux,Château Lascombes,4.3,1595,126.13,2009,red
Finca Monasterio Rioja,Spain,Rioja,Baron de Ley,4.1,1597,21.39,2016,red
Susumaniello,Italy,Puglia,Masca del Tacco,4.2,1597,12.95,2018,red
Douro Fabelhaft Tinto,Portugal,Douro,Niepoort,3.7,1597,9.7,2016,red
Nicolás Catena Zapata,Argentina,Mendoza,Catena Zapata,4.3,1597,82.86,2013,red
Lealbere Teroldego Rotaliano,Italy,Teroldego Rotaliano,Zeni,3.7,160,13.53,2016,red
Côté Sud,France,Côtes Catalanes,Domaine Lafage,3.3,160,7.02,2017,red
Arunte Negroamaro Salento,Italy,Salento,Cantolio,3.7,160,8.58,2013,red
Chianti Classico,Italy,Chianti Classico,Monte Guelfo,3.6,160,8.72,2015,red
Wallace (Shiraz - Grenache),Australia,Barossa Valley,Glaetzer,3.8,160,19.98,2017,red
Shiraz Red Baron,Australia,Fleurieu,Fox Creek,3.7,160,16.95,2018,red
Tutti Frutti Rouge,France,Pays d'Oc,Arrogant Frog,3.5,160,5.36,2018,red
Joven (Selección),Spain,Campo de Borja,Borsao,3.3,160,7.35,2018,red
Nebbiolo Langhe Capisme-e,Italy,Langhe,Domenico Clerico,3.7,160,18.38,2013,red
Zinfandel,United States,California,Dancing Bull,3.6,160,9.6,2016,red
Francs - Côtes de Bordeaux,France,Francs - Côtes de Bordeaux,Château Marsau,3.8,160,18.04,2015,red
Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.8,160,22.37,2004,red
Saint Cosme Côte-Rotie,France,Côte-Rôtie,Château de Saint Cosme,4.1,160,49.95,2013,red
Barbera d'Asti La Crena,Italy,Barbera d'Asti,Vietti,4.0,160,39.9,2015,red
Cabernet Sauvignon Private Reserve,Chile,Maule Valley,Aromo,3.5,160,12.19,2015,red
Saint-Estèphe,France,Saint-Estèphe,Château Haut-Beauséjour,3.9,160,33.76,2016,red
The Laughing Magpie Shiraz - Viognier,Australia,McLaren Vale,d'Arenberg,3.7,160,21.57,2015,red
Meshach,Australia,Barossa Valley,Grant Burge,4.3,160,115.61,2012,red
L'O de la Vie,France,Minervois,Domaine Anne Gros & Jean-Paul Tollot,3.8,160,18.75,2016,red
Malbec,Argentina,Tupungato,Altosur,3.5,1602,8.49,2016,red
Haut-Médoc,France,Haut-Médoc,Château Sociando-Mallet,3.9,1607,57.28,2011,red
Beaujolais-Villages Combe aux Jacques,France,Beaujolais-Villages,Louis Jadot,3.8,1608,10.43,2018,red
Don Maximiano Founder's Reserve,Chile,Aconcagua Valley,Errazuriz,4.5,1608,67.26,2014,red
Cos d'Estournel,France,Saint-Estèphe,Cos d'Estournel,4.6,1608,248.95,2005,red
Cabernet Sauvignon (Cabernet Franc - Syrah),Chile,Rapel Valley,Trio,3.6,1609,9.99,2017,red
Petite Sirah,United States,California,Bogle,3.8,1609,15.33,2015,red
Haut-Médoc,France,Haut-Médoc,Château Sociando-Mallet,4.1,1609,41.85,2010,red
Pessac-Léognan,France,Pessac-Léognan,Château Gazin Rocquencourt,3.9,161,34.15,2014,red
Gigondas Romane Machotte Rouge,France,Gigondas,Pierre Amadieu,3.9,161,16.47,2017,red
Nuits-Saint-Georges Aux Perdrix Premier Cru,France,Nuits-Saint-Georges 1er Cru 'Aux Perdrix',Domaine des Perdrix,4.4,161,101.85,2015,red
Gran Tonel 137 Malbec,Argentina,Mendoza,Bodega Toneles,4.2,161,50.19,2012,red
Aromes de Pavie Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Pavie,4.0,161,398.6,2010,red
Conde de Valdemar Crianza,Spain,Rioja,Bodegas Valdemar,3.7,161,8.39,2016,red
Estate Red,South Africa,Constantia,Klein Constantia,3.8,161,24.46,2016,red
Tinto,Spain,Binissalem-Mallorca,Tianna Negre,4.2,161,38.41,2015,red
Crianza Ribera del Duero,Spain,Ribera del Duero,Condado de Haza,3.9,161,12.9,2017,red
Dolcetto d'Alba Tre Vigne,Italy,Dolcetto d'Alba,Vietti,3.7,161,14.25,2018,red
Le Prestige Rouge,France,Pays d'Oc,Les Collines du Bourdic,4.0,161,9.8,2015,red
Mi Pueblo Cabernet Sauvignon,Chile,Central Valley,Viña Maipo,3.2,161,7.32,2018,red
Valpolicella Ripasso Superiore,Italy,Valpolicella Ripasso,Zonin,3.7,1610,8.43,2017,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Altesino,4.2,1610,37.78,2013,red
Roda Reserva Rioja,Spain,Rioja,Bodegas Roda,4.2,1613,36.89,2015,red
Blason de L’Evangile Pomerol,France,Pomerol,Château l'Évangile,4.2,162,63.44,2014,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Fougueyrat,3.9,162,22.67,2015,red
Pago Negralada Tempranillo,Spain,Castilla y León,Abadia Retuerta,4.4,162,67.26,2013,red
Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Torre dei Beati,3.6,162,9.95,2017,red
Alicante,Spain,Alicante,El Sequé,4.0,162,24.18,2016,red
Rosso di Montalcino,Italy,Rosso di Montalcino,Caparzo,3.8,162,10.37,2018,red
Canonico Negroamaro Salento,Italy,Salento,Cantine due Palme,3.6,162,6.32,2018,red
Clos du Marquis Saint-Julien,France,Saint-Julien,Château Léoville Las Cases,4.1,162,72.62,2016,red
Barolo Conca,Italy,Barolo,Mauro Molino,4.3,162,63.27,2014,red
Awatea Cabernets - Merlot,New Zealand,Hawke's Bay,Te Mata,3.8,162,34.5,2017,red
Pomerol,France,Pomerol,Château Certan de May,4.1,162,92.61,2011,red
Reserva,Spain,Navarra,Castillo de Enériz,3.7,162,8.33,2013,red
Steadfast Shiraz - Cabernet,Australia,Barossa Valley,Langmeil,4.0,162,8.68,2017,red
Gevrey-Chambertin,France,Gevrey-Chambertin,Domaine Trapet,3.9,162,90.2,2016,red
Mathilde Saint-Emilion Grand Cru,France,Saint-Émilion Grand Cru,Château La Fleur Morange,3.8,162,39.95,2010,red
Syrah,Italy,Terre Siciliane,Baglio di Pianetto,3.7,162,8.4,2017,red
Pauillac (Grand Cru Classé),France,Pauillac,Château Grand-Puy Ducasse,3.8,162,74.3,2016,red
Francs - Côtes de Bordeaux,France,Francs - Côtes de Bordeaux,Château Puygueraud,3.8,162,24.95,2005,red
Brolo di Campofiorin Oro,Italy,Rosso Veronese,Masi,3.8,1620,18.79,2013,red
Reserva,Spain,Rioja,Campo Viejo,3.8,1624,10.99,2015,red
Pauillac (Grand Cru Classé),France,Pauillac,Château Pontet-Canet,4.3,1625,114.55,2012,red
Pinot Noir,United States,California,Bogle,3.6,1625,15.33,2016,red
Cinquanta Collezione,Italy,Vino d'Italia,San Marzano,4.3,16262,17.57,2012,red
Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,1627,68.18,2015,red
Quorum (Grande Vindima),Brazil,Vale dos Vinhedos,Lidio Carraro,4.0,1627,45.77,2008,red
Côtes du Rhône Le Bouquet Des Garrigues,France,Côtes-du-Rhône,Clos du Caillou,3.8,163,15.9,2017,red
Nebbiolo d’alba,Italy,Piemonte,Bruno Giacosa,4.1,163,27.65,2017,red
GSM,United States,Columbia Valley,Tenet Wines,4.2,163,78.75,2014,red
Crozes-Hermitage Domaine de Thalabert,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,163,36.74,2017,red
Gimblett Gravels Vineyard Te Kahu,New Zealand,Gimblett Gravels,Craggy Range,3.9,163,27.36,2017,red
Cannonau di Sardegna,Italy,Cannonau di Sardegna,Antichi Poderi Jerzu,3.3,163,7.9,2018,red
Margaux (Grand Cru Classé),France,Margaux,Château Malescot St. Exupery,4.2,163,94.24,2016,red
Médoc,France,Médoc,Clos Manou,3.9,163,24.9,2014,red
Côtes du Rhône,France,Côtes-du-Rhône,Y/M - Yannick Alléno & Michel Chapoutier,3.7,163,12.0,2017,red
Riserva del Conte Contea di Sclafani,Italy,Contea di Sclafani,Tasca d'Almerita,4.3,163,65.86,2010,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Langoa Barton,4.2,163,68.95,2002,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Figeac,4.5,163,286.95,2016,red
Haut-Médoc,France,Haut-Médoc,Château Ségur,3.6,163,14.95,2014,red
Pinotage (Bosstok),South Africa,Coastal Region,MAN,3.8,163,5.74,2018,red
Riebeeksrivier Western Slopes,South Africa,Swartland,Cape of Good Hope,3.9,163,13.99,2013,red
Barbaresco,Italy,Barbaresco,Enrico Serafino,3.8,163,26.18,2015,red
Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château La Serre,4.0,163,50.69,2015,red
Lagrein Perl,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,4.0,163,14.5,2018,red
Reserva Rioja,Spain,Rioja,Castillo de Albai,3.6,163,8.95,2015,red
Viña Cubillo,Spain,Rioja Alta,R. López de Heredia Viña Tondonia,3.8,1633,14.9,2009,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Valdicava,4.5,1634,92.15,2010,red
Etna Rosso,Italy,Etna,Tenuta delle Terre Nere,3.9,1637,15.47,2017,red
Sassicaia,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.7,1637,632.64,1999,red
Arbossar,Spain,Priorat,Terroir Al Límit Soc. Lda,4.0,164,60.0,2014,red
Castillon - Côtes de Bordeaux,France,Castillon - Côtes de Bordeaux,Château Cap de Faugères,3.7,164,29.95,2005,red
Finca Matambres,Spain,Ribera del Duero,Monteabellon,4.2,164,28.0,2015,red
La Miranda de Secastilla Garnacha Somontano,Spain,Somontano,Viñas del Vero,3.7,164,9.35,2017,red
Bosc Silvestre Tinto,Spain,Costers del Segre,Costers del Sió,3.9,164,10.9,2016,red
Saint Cosme Crozes-Hermitage,France,Crozes-Hermitage,Château de Saint Cosme,4.0,164,22.0,2017,red
Gravello Rosso,Italy,Val di Neto,Librandi,3.8,164,15.9,2016,red
El Viaje de Ramón Tempranillo Rioja,Spain,Rioja,Ramón Bilbao,3.7,164,6.75,2018,red
Chianti Classico,Italy,Chianti Classico,Fontodi,3.9,164,26.81,2017,red
Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.8,164,20.42,2006,red
Syrah - Grenache,South Africa,Walker Bay,Creation,3.8,164,17.69,2017,red
Rouge (Gaston Hochar),Lebanon,Bekaa Valley,Château Musar,4.2,1640,36.55,2000,red
Da Vinci Chianti,Italy,Chianti,Cantine Leonardo da Vinci,3.6,1647,7.02,2016,red
Earthquake Zinfandel,United States,Lodi,Michael David Winery,4.1,1649,26.22,2015,red
Mordor,Austria,Burgenland,Scheiblhofer,4.2,165,20.47,2017,red
Reserva Tinto,Portugal,Portalegre,Monte da Penha,3.9,165,13.9,2005,red
Pasionado Cabernet Franc,Argentina,Tupungato,Andeluna,4.2,165,54.36,2013,red
Merlot,Italy,delle Venezie,Casa Lunardi,3.7,165,5.95,2018,red
Coto Real Reserva,Spain,Rioja,El Coto,3.4,165,25.99,2012,red
Canon-Fronsac,France,Canon-Fronsac,Château Canon,3.7,165,15.39,2009,red
Dule Cannonau di Sardegna Classico,Italy,Cannonau di Sardegna,Gabbas,4.0,165,17.45,2014,red
Old Vine Zinfandel,United States,Mendocino County,Ravenswood,3.7,165,14.99,2014,red
Ronco Dei Moreri Refosco dal Peduncolo Rosso,Italy,Friuli-Venezia Giulia,Marco Felluga,3.7,165,18.99,2013,red
Serenity,South Africa,Hemel-en-Aarde Valley,Ataraxia,4.0,165,17.25,2011,red
Chianti Classico Riserva,Italy,Chianti Classico,Castellani,3.5,165,9.61,2014,red
Gran Reserva,Spain,Valdepeñas,Viña Albali,3.4,165,5.89,2012,red
Bramare Malbec Lujan de Cuyo,Argentina,Lujan de Cuyo,Viña Cobos,4.4,165,34.22,2018,red
Pinot Noir,Austria,Burgenland,Heinrich,3.5,165,11.02,2018,red
Barolo,Italy,Barolo,Batasiolo,4.0,1652,20.5,2015,red
Laforet Bourgogne Pinot Noir,France,Bourgogne,Joseph Drouhin,3.6,1654,15.54,2017,red
Coronas Tempranillo,Spain,Catalunya,Torres,3.6,1656,6.99,2017,red
Tenuta Guado al Tasso Bolgheri Superiore,Italy,Bolgheri Superiore,Antinori,4.5,1658,99.9,2015,red
Viña Collada Rioja,Spain,Rioja,Marqués de Riscal,3.7,1659,6.84,2016,red
Barolo Marcenasco,Italy,Barolo,Renato Ratti,4.2,1659,33.97,2014,red
Barbaresco,Italy,Barbaresco,De Forville,4.1,166,24.3,2016,red
Birba Toscano,Italy,Toscana,La Gerla,4.0,166,17.36,2011,red
Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,E. Guigal,4.1,166,43.28,2016,red
Ventoux,France,Ventoux,Martinelle,3.8,166,10.9,2016,red
La Suerte de Arrayán Garnacha,Spain,Méntrida,Arrayán,3.7,166,12.9,2014,red
Barbaresco Bordini,Italy,Barbaresco,Elvio Cogno,3.9,166,28.5,2015,red
Margaux,France,Margaux,Château Mongravey,3.9,166,27.95,2016,red
Douro Bioma Tinto,Portugal,Douro,Niepoort,3.8,166,22.59,2013,red
Clos Triguedina Malbec,France,Cahors,Jean-Luc Baldès,3.7,166,26.7,2015,red
Tapada de Villar Tinto,Portugal,Alentejo,Herdade Penedo Gordo,3.6,166,8.9,2017,red
Cumal Prieto Picudo,Spain,Bierzo,Dominio Dostares,4.0,166,25.92,2015,red
Tenuta Tignanello 'Solaia',Italy,Toscana,Antinori,4.6,166,338.53,2016,red
Tempranillo,Spain,Castilla,Rasgón,3.7,166,5.1,2019,red
Chianti Classico,Italy,Chianti Classico,Istine,3.6,166,14.94,2014,red
Bardolino,Italy,Bardolino,Zenato,3.4,166,5.77,2018,red
Single Valley Lot Gran Reserva Cabernet Sauvignon,Chile,Rapel Valley,Valdivieso,3.7,166,14.57,2014,red
Vignelacroix Rouge,France,La Clape,Château Ricardelle,4.0,166,13.93,2017,red
Margaux,France,Margaux,Château La Gurgue,4.0,166,32.41,2015,red
Cos d'Estournel,France,Saint-Estèphe,Cos d'Estournel,4.4,1662,165.0,2006,red
Haut-Médoc (Grand Cru Classé),France,Haut-Médoc,Château Belgrave,4.1,1664,38.95,2010,red
Médoc,France,Médoc,Château Potensac,3.8,167,28.95,2016,red
Ettamiano Passito,Italy,Primitivo di Manduria,Cantine due Palme,4.1,167,16.0,2013,red
Chianti Classico Vigneto Gran Selezione San Lorenzo,Italy,Chianti Classico,Castello di Ama,4.2,167,54.72,2016,red
Pomerol,France,Pomerol,Château Gazin,4.0,167,138.7,2016,red
Tinto,Spain,Alicante,Vergel,3.7,167,6.5,2017,red
Listrac-Médoc,France,Listrac-Médoc,Château Reverdi,3.8,167,13.04,2014,red
Cabernet Sauvignon,Australia,Margaret River,Xanadu,3.8,167,21.5,2015,red
Gran Terroir de Los Andes Cabernet Sauvignon,Chile,Colchagua Valley,Casa Silva,4.1,167,13.55,2018,red
Valpolicella Valpantena,Italy,Valpolicella Valpantena,Costa Arente,3.9,167,15.48,2016,red
Margaux,France,Margaux,Château Monbrison,4.1,167,32.0,2013,red
Santa Ana Reserva Tinto,Portugal,Alentejano,Herdade Fonte Paredes,3.7,167,11.7,2015,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Magdelaine,4.2,167,96.14,2011,red
Merlot,Chile,Colchagua Valley,Ravanal,3.4,167,6.95,2016,red
Terroir du Trias Bandol Rouge,France,Bandol,Domaine de Terrebrune,4.1,167,34.9,2013,red
Estate Cabernet Sauvignon,Chile,Aconcagua Valley,Errazuriz,3.5,1670,8.28,2016,red
181 Merlot,United States,Lodi,Noble Vines,3.6,1675,16.5,2012,red
Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Poliziano,3.9,1676,16.9,2016,red
Vieilles Vignes Côtes du Roussillon Villages,France,Côtes du Roussillon Villages,Domaine du Clos des Fées,4.0,168,28.93,2014,red
Costasera Amarone della Valpolicella Classico Riserva,Italy,Amarone della Valpolicella Classico,Masi,4.1,168,53.99,2013,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Langoa Barton,4.0,168,59.95,2016,red
Bicento,Italy,Irpinia Campi Taurasini,Nativ,4.3,168,27.29,2016,red
Ribeca Perricone,Italy,Terre Siciliane,Firriato,4.1,168,27.29,2014,red
Beaune Premier Cru Bastion Rouge,France,Beaune Premier Cru,Chanson,4.1,168,41.15,2015,red
The Long Fuse Cabernet Sauvignon,South Africa,Stellenbosch,Jordan,3.9,168,14.9,2016,red
Corbières Grenache - Syrah - Mourvèdre,France,Corbières,Gérard Bertrand,3.7,168,11.69,2017,red
Brunello di Montalcino,Italy,Brunello di Montalcino,Pietroso,3.9,168,47.77,2014,red
La Mancha Reserva,Spain,La Mancha,El Vínculo,3.6,168,12.18,2010,red
Mas Mallola,Spain,Priorat,Marco Abella,4.2,168,27.32,2016,red
Earthquake Petite Sirah,United States,Lodi,Michael David Winery,3.8,168,26.27,2016,red
Dominio de Fontana Roble Tempranillo - Syrah,Spain,Castilla,Bodegas Fontana,3.8,168,7.32,2017,red
Nèprica Primitivo,Italy,Puglia,Tormaresca,3.8,1683,7.95,2017,red
Curioso,Italy,Toscana,Ponte Lungo,3.9,1685,8.72,2017,red
Diamond Collection Malbec (Celestial Blue Label),United States,Napa Valley,Francis Ford Coppola,3.8,169,25.69,2016,red
Zinfandel,United States,California,Gallo Family Vineyards,3.3,169,6.05,2018,red
Red Jasper,South Africa,Stellenbosch,Raats,4.0,169,16.9,2016,red
Bricco della Bigotta Barbera d'Asti,Italy,Barbera d'Asti,Braida,4.1,169,49.9,2016,red
Clos Triguedina Probus,France,Cahors,Jean-Luc Baldès,3.8,169,46.95,2007,red
Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Grand-Pontet,3.9,169,31.95,2015,red
Reserva Original,Spain,Rioja,Ramón Bilbao,3.9,169,19.89,2014,red
Touriga Nacional,Portugal,Alentejano,Herdade de São Miguel,3.8,169,12.8,2015,red
The Pavillion Shiraz - Cabernet Sauvignon,South Africa,Stellenbosch,Boschendal,3.1,169,5.8,2017,red
Kekfrankos,Hungary,Sopron,Péter Wetzer,3.7,169,13.5,2016,red
Crianza,Spain,Rioja,Viña Albina,3.6,169,8.68,2015,red
Bosc Silvestre Tinto,Spain,Costers del Segre,Costers del Sió,3.8,169,10.23,2015,red
Rosso di Montalcino,Italy,Rosso di Montalcino,Poggio di Sotto,4.2,169,48.02,2013,red
Consigna Merlot,Spain,Castilla,Félix Solís,3.5,169,4.99,2018,red
Terroir du Trias Bandol Rouge,France,Bandol,Domaine de Terrebrune,4.0,169,59.9,2006,red
Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.9,169,18.47,2011,red
Edición Limitada,Spain,Rioja,Ramón Bilbao,4.0,1690,13.95,2014,red
Chianti Classico,Italy,Chianti Classico,Albola,3.8,1691,11.9,2016,red
Los Intocables Black Malbec,Argentina,San Juan,Bodega Finca Las Moras,3.9,1694,11.89,2018,red
Bordeaux Supérieur,France,Bordeaux Supérieur,Château Recougne,3.6,1696,9.58,2016,red
H3 Cabernet Sauvignon,United States,Horse Heaven Hills,Columbia Crest,3.9,1699,15.79,2016,red
Espiritu de Apalta,Chile,Colchagua Valley,Neyen,4.4,170,63.15,2016,red
Brisa,Chile,Aconcagua,Arboleda,4.2,170,40.81,2016,red
Lasendal Selecció,Spain,Montsant,Capçanes,3.8,170,9.8,2017,red
Barbera d'Asti Superiore Tre Roveri,Italy,Barbera d'Asti,Pico Maccario,4.0,170,20.32,2015,red
Costalunga Barbera d'Asti,Italy,Barbera d'Asti,Bersano,3.5,170,7.39,2017,red
Merlot,United States,Napa Valley,Twomey,3.9,170,85.05,2014,red
Pomerol,France,Pomerol,Château Bourgneuf (Vieux Château Bourgneuf),3.9,170,48.55,2015,red
Barbera d'Alba,Italy,Barbera d'Alba,Elio Altare,3.9,170,16.44,2018,red
Tributo Cabernet Sauvignon,Chile,Colchagua Valley,Caliterra,3.8,170,13.82,2017,red
El Abuelo de Piqueras Reserva,Spain,Almansa,Bodegas Piqueras,4.0,170,7.95,2016,red
1704 Red Tinta Barocca - Shiraz,South Africa,Swartland,Allesverloren,3.4,170,10.9,2015,red
Les Garrigues Coteaux du Languedoc,France,Languedoc,Clavel,3.4,170,9.65,2015,red
Garnacha Tinta,Spain,Terra Alta,La Picossa,3.3,170,7.99,2016,red
Kieselstein Zweigelt,Austria,Burgenland,Claus Preisinger,4.0,170,10.18,2018,red
Rioja Gran Reserva 904,Spain,Rioja,La Rioja Alta,4.3,170,44.9,2011,red
Les Barnabés Chinon,France,Chinon,Domaine Olga Raffault,3.9,170,14.9,2017,red
Rosso Puglia,Italy,Puglia,Luccarelli,3.8,1700,4.66,2018,red
